gauge, area
01030350, 150.79
01030500, 3663.24
06741510, 1385.91
402114105350101, 108.00
272524080221800, 450.95
02277600, 51.84
254157080213800, 85.66
022907085, 85.58
022908295, 8.55
06711780, 45.02
06711618, 9.00
06710385, 252.13
06710247, 8015.14
06709740, 9.00
06710605, 432.22
06709530, 828.52
06711555, 63.03
06711570, 9.00
06711515, 9.00
06710150, 36.02
06711575, 9.00
06701900, 5259.49
06701620, 297.20
06700000, 4196.79
06701700, 153.10
06709000, 729.46
06708800, 297.19
06708600, 54.04
06711565, 8753.52
06721000, 13093.56
06720990, 387.12
06720820, 144.05
394839104570300, 1494.86
06714215, 10095.29
06720460, 90.04
393109104464500, 765.48
394329104490101, 1125.67
06713000, 1035.63
06712000, 459.30
06713500, 1098.66
06023000, 2365.72
06020600, 1503.84
06019500, 1352.67
07160350, 188.78
07160500, 1087.44
07159750, 35444.66
07240000, 34600.67
07160000, 72945.11
07159100, 34949.42
04057510, 513.70
08374200, 100172.63
08377200, 0.00
08374500, 0.00
08374550, 171387.76
08376300, 590.11
294833102085400, 196676.70
08371500, 94665.31
08456310, 52.60
08447000, 85142.99
08447300, 89062.98
08447410, 0.00
11299600, 27.01
11510700, 13850.52
11516530, 15278.03
07164600, 26.96
07165565, 17.97
07165562, 62.89
07164500, 222283.14
07165570, 224474.97
07194500, 279294.86
07237500, 30486.14
07239000, 32831.79
07238000, 32265.68
07239300, 33451.59
07239450, 33981.34
07239500, 34178.82
07239700, 34555.79
07241000, 34645.54
07194880, 98.87
07194933, 107.85
07195855, 143.80
07195865, 53.92
07194906, 17.97
07195400, 1338.88
07195500, 1644.35
07195430, 1464.67
07196090, 2156.60
07194800, 449.18
07194809, 0.00
07195800, 35.95
07195000, 350.53
07196000, 314.56
07197000, 808.43
07196900, 107.78
07197360, 233.51
07196500, 2471.06
07198000, 4204.45
07241550, 35345.58
07241520, 35211.05
07241800, 36027.66
07242000, 37364.56
07316000, 77094.83
07331200, 116.41
07331300, 196.98
07331000, 18527.21
07331383, 259.63
03214500, 3330.37
03213700, 2430.11
03212750, 459.00
03212980, 539.95
03213500, 81.00
02374950, 478.20
02375000, 832.08
02375500, 10024.64
03280000, 2798.82
03277300, 161.97
03277500, 1187.75
03217000, 648.40
02366996, 114.80
02367310, 88.26
07230000, 681.84
07230500, 1211.04
07231000, 2340.94
03281000, 1403.73
03280700, 170.95
07160810, 107.81
07161450, 75847.36
03281500, 1826.66
03281100, 431.86
07245000, 120945.46
07242380, 1364.75
07243500, 5198.58
07303000, 6738.31
07305000, 11204.03
07307028, 12386.66
07307010, 555.60
07311230, 734.54
07311240, 1173.25
07311500, 1611.41
07335700, 107.50
07335790, 1809.69
07336200, 2937.84
08458995, 43.38
08458800, 400012.09
08459000, 402643.92
07337900, 877.17
07338500, 3186.14
08473700, 513480.84
08475000, 514278.56
07338750, 841.84
07339000, 2077.13
06810000, 7343.76
10109000, 664.60
10113500, 655.91
10105900, 467.34
07309435, 8.96
07309990, 1209.89
07311000, 1774.06
07324400, 3950.43
07325000, 5063.70
07325840, 35.90
07325850, 134.60
07326000, 798.52
07325800, 358.93
07325860, 71.77
07325500, 8077.63
07326500, 9450.07
07327442, 35.86
07327447, 179.27
07327550, 609.52
07332390, 411.97
07332500, 1243.99
07334000, 2830.35
07335300, 5838.03
01011000, 3224.33
01013500, 2248.48
07035000, 234.05
07035800, 1278.30
07036100, 1683.33
07037300, 513.00
07037500, 2457.32
06890100, 1125.54
06890900, 3007.67
07043500, 1124.64
02369800, 238.85
02370000, 521.74
02370500, 645.19
01017290, 564.32
01017060, 8.83
01017000, 4322.43
01015800, 2299.79
01017550, 17.67
01018035, 655.48
01018000, 460.67
01017960, 230.29
01018009, 17.72
07176000, 16755.21
07177500, 2346.67
07178000, 2634.25
07177650, 44.94
07177800, 26.96
07178200, 2930.82
07176500, 962.20
07176950, 305.71
03283500, 963.33
03282500, 180.05
03282040, 198.01
03282120, 7487.47
03282060, 7154.39
03282000, 6821.36
03282290, 8333.64
05514860, 261.18
05514840, 162.11
03210000, 144.02
03212500, 5579.98
03209500, 3212.54
02367900, 1309.99
02368500, 309.27
02368000, 1610.46
02369600, 3403.59
03215410, 198.09
07079300, 126.08
07083710, 612.39
07081200, 252.16
07083000, 63.04
07087050, 1422.94
