to_usgs, from_usgs
03381700, "{03214500,03290500,03217000,03212500,03215410,03291500,03238495,03237500,03237280,03238772,03238745,03216500,03254520,03254693,03254550,03202000,03205470,03259000,03260015,03260100,03260050,03262001,03238140,03277075,03277130,03237020,03114306,03274000,03276500,03245500,03247500,03206600,03320000,03198000,03200500,03203600,03378500,03303300,03322011,03291780,03292470,03292480,03292474,03293510,03294550,03294570,03294000,03298500,03302030,03302050,03298550,03301500,03303000,03302220,03378550,03381500,03321350,03320500,03150500,03159500,03115786,03115400,03114500,03201405,03155220,03155000,03159540}"
07010000, "{05465700,06935965,05514860,05420500,05514500,05512500,05501000,05502000,05586100,05587900,05588000,07005000,05508805,05508000,05500000,05490600,05498150,05497150,05495000,05495500,05496000,05587000,06935997,06936475,06935980,05466500,05467000,05469000,05474000,05446500,05448000,05447500,05422000,05422600}"
07289000, "{07032000,07249455,07039500,07043500,07250085,07047855,07077000,07250965,07252000,07250974,07257500,07257006,07257693,07260673,07260678,07260500,07261250,07263012,07077555,07077652,07032200,07281600,07288500,07288521,07288650,07285500,07263300,07263605,07047950,07264000}"
06486000, "{06342500,06438500,06485950,06360500,06478513,06452000,06452320,06465500,06465700,06453600,06478522,06466500,06354580,06349600,06349500,06479010,06441500,06357800,06354000,06349000}"
05420500, "{05378500,05383075,05385500,05385000,05379500,05382000,05389000,05389400,05412500,05414000,05413500,05388250,05414820,05419000,05407000,05410490}"
12472800, "{12322000,12321500,12396500,12426000,12433200,12431000,12404900,12409000,12434590,12447200,12447285,12452500,12462500,12452990,12449950,12472600}"
07381490, "{07344370,07346000,07346045,07346080,07346070,07349860,07372200,07367005,07369500,07369700,07369000,07368000,07373000,07381482,07352000,07348700}"
07020500, "{07010000,07010097,07010180,07010208,07019000,07019185,07019072,07019120,07019090,07019195,07019220,07019317,07020550,05595000,05595200}"
07032000, "{07022000,03612600,03613000,07025400,07030240,07030050,07028960,07024500,07024000,07031692,07031650,07027720}"
02146000, "{021459367,02145000,02140991,02138520,02142000,02138500,02137727,0214266000,0214266080,0214291555,0214297160,0214295600,0214269560,021457492}"
14105700, "{12472800,12510500,13334300,13344500,13351000,13342500,14018500,14033500,14034608,14048000,14103000,13335050}"
07057370, "{07052500,07052820,07054080,07053810,07055607,07050152,07053250,07050500,07049000,07048600,07056700}"
01116500, "{01115098,01115110,01115170,01115114,01115190,01115187,01115280,01115265,01115276,01116000,01115183}"
02428400, "{02407000,02419890,02427250,02425000,02422500,02421000,02407514,02408540,02408150}"
06342500, "{06185500,06329500,06337000,06342260,06342450,06331000,06340590,06332000,06332523,06332515,06332770}"
02407000, "{02397530,02398300,02399200,02400100,02401000,02401895,02401390,02404400,02405500,02406500,02406930}"
03114306, "{03086000,03109500,03110000,03108000,03110830,03107500,03111548,03112000,03111500,03113990}"
11074000, "{11072100,11060400,11058500,11058600,11055800,11055500,11073360,11058000,11059300,11051502,11073495}"
