"cnt","to_usgs","to_comid","from_comid","from_usgs"
65,"03381700",11866736,"{434540,465436,886643,908809,1823336,1825520,1918988,1919636,1920776,1922540,1936654,2086989,2087793,2087849,3368346,3369272,3405071,3405393,3405451,3405581,3405683,3406023,3407011,3407421,3488041,3885878,3925073,3935066,3964810,6928060,10106835,10156865,10161364,10163598,10163710,10163768,10163798,10163856,10164000,10264270,10265896,10266496,10302643,10357352,10357656,10382021,10382125,10437194,11616503,11617363,11897420,15383167,15383305,15421121,15429794,15431680,15431824,15431972,19293432,19315490,19315642,19414869,19415571,19440277,25243939}","{03214500,03217000,03212500,03215410,03291500,03290500,03238495,03237500,03237280,03238745,03216500,03254693,03254550,03254520,03202000,03205470,03259000,03260015,03260100,03260050,03262001,03238140,03277075,03277130,03237020,03274000,03276500,03247500,03206600,03200500,03303300,03322011,03291780,03292470,03292474,03294550,03294570,03294000,03293510,03302030,03298550,03298500,03301500,03302220,03303000,03378550,03378500,03381500,03321350,03320000,03320500,03150000,03150500,03159500,03114306,03115400,03115786,03114500,03203600,03198000,03201405,03155220,03155000,03159540,03245500}"
62,"03611500",1840025,"{1839899,1863920,10147033,10169834,10562610,10581525,10581939,11866736,11868270,11880724,11883626,14642349,18393278,18409192,18409490,19488812,19503182,19514640,19543740,19550100,19567882,19577851,19581347,19581387,19594712,19619792,19620232,19620296,19620688,19621328,19621374,19621386,19621388,19621426,19626108,19647854,19663107,19678155,19695443,19696075,19697927,19712873,19720831,19722609,19730694,19735407,19736737,19743430,19744396,19752413,19752425,19752763,19763234,22123016,22125042,22130125,22144064,22150583,22162876,22178350,22178772,22540324}","{03611260,03610200,03382100,03436100,03384100,03605078,03606500,03381700,03384450,03438000,03436690,03528000,03434500,03431800,03431790,03467609,03604400,03603000,03594421,03593800,03592500,03588500,03590000,03586500,03584600,03577225,03575980,03575950,03575700,03575100,03576250,03575830,0357526200,03574500,03576500,03572690,03571000,03566000,03566535,03567500,03568933,03540500,0351706800,03518500,03513000,03505550,03503000,03479000,03485500,03475000,03473000,03478400,03490000,03535000,03535400,03498850,03469251,03461500,03455000,03491000,03491544,03532000}"
40,"07289000",19266232,"{758846,1543497,1543899,3665570,3672682,7474830,7752938,7753306,7753312,7766271,7769385,7770981,7787118,7787336,7803469,7818688,7835620,9273030,9278434,14199477,15252066,15274896,15275898,15288074,15289204,17956783,17956869,17963095,17991438,17995532,17997024,17997396,18016786,22845923,22846055,22847829,22848005,22848029,25189323,938020696}","{07043500,07249455,07250085,07039500,07047855,07032000,07252000,07250965,07250974,07257006,07257693,07257500,07260673,07260678,07260500,07261250,07263012,07077652,07077555,07032200,07275900,07274000,07274252,07268000,07273100,07288521,07288500,07288650,07281600,07287160,07287404,330304090210100,07285500,072632982,072632971,07263605,072632966,07263300,07077000,07264000}"
21,"06486000",17244390,"{7226854,11258604,11547654,11550704,11645823,11645915,11673186,11759050,11761348,12669690,14376509,14490772,14523623,14665387,14681826,14682302,16016298,16128803,16203752,16225429,21834041}","{06485950,06360500,06452000,06452320,06465500,06465700,06453600,06478522,06466500,06478513,06438500,06354882,06342500,06354580,06349600,06349500,06479010,06441500,06354000,06349000,06357800}"
17,"12472800",947020558,"{22904453,22904467,22994743,22995329,23021792,23021912,23026720,23040731,23046003,23053043,23064723,23065279,23073739,23080544,23207982,24382701,24405889}","{12321500,12322000,12396500,12397100,12426000,12433200,12431000,12404900,12409000,12434590,12447200,12447285,12452500,12462500,12452990,12449950,12472600}"
17,"05420500",14809371,"{2118562,2456124,2463033,2463163,2733550,13139741,13211090,13211298,13312489,13324402,13324626,13336508,13358638,13361516,13375515,13625933,13637495}","{05378500,05383075,05385500,05385000,05379500,05382000,05389000,05389400,05412500,05414000,05413500,05388250,05414820,05419000,05418720,05410490,05407000}"
16,"07381490",15169567,"{1017865,1017893,1018031,1042491,3761618,8343927,19273960,19302981,19303413,19350501,19350633,19406818,19432886,19913448,19935747,19950146}","{07346045,07346000,07346080,07346070,07349860,07351750,07369500,07369680,07369700,07368000,07369000,07381482,07367005,07352000,07348700,07344370}"
14,"01619500",5894726,"{5891210,5891232,5891846,5892862,5892920,5893170,5893280,5893338,5894272,5894280,5894384,8431622,8431736,8431820}","{01619000,01614500,01617800,01613525,01613030,01614000,01613095,01613000,01618100,01617000,01616500,01610155,01611500,01610000}"
13,"07032000",7474830,"{1839453,1841415,5092616,7483456,7484594,7486454,7491728,14062259,14073444,14101407,14113038,14126587,14240668}","{03613000,03612600,07022000,07025400,07026795,07026680,07026500,07030240,07030050,07028960,07024500,07024000,07027720}"
12,"04237496",21975021,"{15537789,15537859,15539133,15539769,15540125,15567933,21974979,21975173,21975983,21979635,21981203,21982175}","{04231000,04230500,04228500,04227500,04229500,04218000,04236800,04235600,04234254,0423406130,04235250,04235000}"
12,"07057370",11830560,"{7609749,7610871,7622144,7625104,7628072,8585070,8586574,8586784,8588002,8590392,8590894,11816353}","{07052500,07052820,07054080,07053810,07055607,07050152,07053250,07050500,07049000,07048800,07048600,07056700}"
12,"11337190",1889650,"{1889600,1889612,1889648,1889664,1889680,1889742,1889852,1897374,1897416,1909508,15048263,15059791}","{11336680,11336685,11313452,11313460,11313431,11313434,11336790,11312968,11303500,11313440,11337080,11447903}"
12,"14105700",947070191,"{23448951,23459517,23605912,23637700,23647724,23659568,23685496,23718705,24227935,24228251,947020558,947030106}","{13344500,13351000,13342500,14018500,14033500,14034608,14048000,14103000,13335050,13334300,12472800,12510500}"
11,"06342500",14523623,"{3012079,14469195,14519511,14523345,14586327,16248681,21533074,21538554,21539242,21539336,21871785}","{06185500,06337000,06342260,06342450,06331000,06340590,06332000,06332523,06332515,06332770,06329500}"
11,"02146000",9736188,"{9737002,9747440,9752476,9753760,9753828,9754776,9755408,9755438,9755476,9756570,9756782}","{021459367,02145000,02140991,02142000,02138500,02137727,0214266000,0214291555,0214295600,0214269560,021457492}"
11,"06295000",13260207,"{4064058,4263450,4264796,4265440,4268026,4342992,4366016,4366570,7184606,12775637,12913595}","{06195600,06211500,06209500,06211000,06208500,06214500,06192500,06200000,06205000,06294500,06216900}"
11,"06807000",7312363,"{7312223,17219246,17219468,17399187,17405447,17415522,17415610,17415706,17415854,17416032,24750511}","{06806500,06610795,06610000,06804700,06803555,06796000,06796500,06796550,06801000,06805500,06800500}"
11,"03114306",15429794,"{3819547,3820543,3820883,3821223,3822659,19451765,19452479,19452609,19453023,19454103,19464254}","{03109500,03110000,03108000,03086000,03110830,03111200,03111548,03112000,03111500,03113990,03107500}"
11,"02428400",18239649,"{21457950,21458394,21662336,21676818,21680904,21682252,21719268,22271288,22273668,22274612,22274808}","{02427250,02427830,02425000,02422500,02420490,02421000,02419890,02407514,02407000,02408540,02408150}"
11,"11074000",22563116,"{22555342,22555344,22555756,22555860,22556372,22557854,22557922,22558244,22560716,22563070,24843752}","{11058500,11058600,11055800,11055500,11073360,11058000,11060400,11051502,11072100,11073495,11059300}"
