"to_usgs","to_comid","direct_descendants_uparea","totdasqkm"
"14316500",23894288,"1220.59","1226.46"
"05474000",7006146,"9955.76","11165.3"
"09171310",18377596,"24.246","114.877"
"02083500",3350831,"4221.72","5761.2"
"12187500",24264827,"398.913","766.5"
"02208000",6334744,"877.875","1114.74"
"06872500",18852688,"3354.66","6225.95"
"03301500",10302643,"1733.76","3368.45"
"01357500",22751957,"8618.85","8986.03"
"08197500",10646917,"1336.36","1640.47"
"01168500",10294852,"17.6418","939.496"
"02407000",22273668,"17014.7","21746.6"
"06930060",7434227,"1427.42","1535.41"
"02458300",18566197,"30.339","81.6759"
"03539800",19710425,"1046.63","1345.48"
"08082000",14033905,"3141.12","10437.1"
"01094500",6076105,"171.749","279.809"
"13108150",23195742,"3648.55","5640.36"
"07138000",21251316,"63339.7","63888.5"
"03262000",3984508,"392.989","665.709"
"0212433550",9202447,"372.307","723.432"
"02395980",6505962,"4321.84","4665.31"
"06473000",12694924,"19203","20966.1"
"09397300",21747127,"27089.7","29407.9"
"04180000",15679445,"323.244","787.526"
"10300600",946050091,"4749.04","5267.25"
"07227000",20031587,"19992.6","28153"
"12091500",23989475,"237.984","263.992"
"04119000",9008387,"9184.88","12738.8"
"10259540",22592737,"2477.24","2949.42"
"02336526",3285608,"26.2422","40.7646"
"11140585",17625465,"3689.53","4174.24"
"06155500",12328223,"26666.2","28023"
"05242300",4858779,"15302.6","18209.6"
"06227600",12902084,"4908.95","5754.53"
"07142680",22076543,"91225.8","93696.8"
"09132500",1337236,"604.688","1360.49"
"04124200",12120568,"2242.15","2544.91"
"03301000",10302639,"1128.66","1733.76"
"07327550",687397,"161.419","603.346"
"05433000",13410230,"99.6516","572.753"
"10039500",7898927,"6212.31","6290.57"
"09330000",944070009,"64.7046","1882.96"
"04087220",12169385,"40.666","130.855"
"06287000",12781155,"47130.8","50950.5"
"11059300",24843752,"318.155","318.492"
"04239000",21979277,"91.294","248.528"
"03289500",1825460,"730.814","1227.33"
"03350700",18474949,"83.7126","132.812"
"01519200",8111583,"234.18","608.122"
"03301940",10264038,"9.1566","29.6721"
"07241800",417955,"35397.9","36008.5"
"06913500",10116308,"2729.04","3240.13"
"01410820",9433603,"39.1635","103.484"
"02233500",10996421,"752.943","782.761"
"03414100",3577682,"9995.94","15437.4"
"01209500",7732315,"136.911","206.474"
"05464420",22473833,"15640.9","16420.9"
"01525500",8110911,"410.324","890.964"
"13192200",23386269,"2533.32","3037.9"
"03284580",1827194,"101.697","259.078"
"08171000",1630223,"695.728","922.073"
"10260500",22660265,"5.796","355.599"
"02124692",9202887,"35.4456","71.91"
"02300018",16875122,"16.2612","132.005"
"02055000",8627261,"728.446","997.07"
"14111400",23663197,"394.358","1905.3"
"12372000",24356639,"15277.8","18105.9"
"06876900",3541375,"16652.7","17470"
"05427530",13297220,"5817.28","6718.74"
"08447410",334022,"86919.2","91705.6"
"01554000",4518742,"47025.3","47372.2"
"07075270",11777215,"120.728","193.823"
"06847000",8163040,"4352.43","5226.2"
"08146000",5746512,"5760.13","7898.02"
"08176900",1638559,"435.182","924.498"
"11176500",2808553,"336.632","384.61"
"12465000",24397698,"168.736","2243.06"
"02321898",2161778,"1499.18","2121.49"
"02169000",9869898,"6295.89","6550.2"
"14372300",23940255,"8183.55","10194.7"
"01135500",4572379,"468.733","1125.1"
"02217475",1048487,"285.817","861.713"
"11465390",8272685,"2605.55","2674.95"
"01613000",5893338,"10079.2","10550.8"
"01411000",9434145,"103.484","151.741"
"05573540",13572849,"1447.35","2440.58"
"14034500",23659572,"181.351","251.861"
"06660000",17495175,"1196.43","2683.25"
"01453000",4188273,"2893.34","3313.33"
"03535400",22125042,"146","231.429"
"05465700",11923655,"32341","32672.4"
"06803495",17405849,"1636.76","1775.08"
"02211800",6335784,"11.9385","877.689"
"08446500",3213331,"71380.2","74314"
"07336200",592734,"1810.92","2935.16"
"12331800",24293328,"5662.19","6253.03"
"03200500",6928060,"1011.49","2223.33"
"01543000",8127529,"13.6368","704.917"
"04291500",4586440,"42.5394","694.706"
"05331580",1101462,"94653.7","95179.5"
"08045995",1268578,"335.097","640.91"
"08437710",3212475,"53406.8","71380.2"
"08279500",17864756,"17586.8","18404.2"
"12362500",22964998,"3001.57","4320.67"
"03465500",19487554,"113.188","2085.85"
"09066510",1319426,"199.312","263.923"
"03198500",6929014,"164.394","1011.49"
"06080900",12395582,"1322.04","1597"
"14183000",23780481,"1467.54","1702.96"
"10126000",4605050,"13878.9","17877.7"
"05408000",13624991,"304.403","690.115"
"04230500",15537859,"111.635","526.888"
"07185000",24778185,"13609.5","15350"
"09419753",945010401,"3368.94","3324.63"
"09386300",21760862,"2355.03","8341.88"
"05437050",13418856,"4798.64","6625.08"
"12413000",24372850,"866.464","2315.79"
"03287600",1825272,"13.3038","65.4426"
"09064000",1320914,"17.3907","101.669"
"01573710",4709644,"58.5198","123.544"
"12106700",23977678,"563.444","586.732"
"02330150",10365922,"4789.67","5444.25"
"10318500",10784576,"3283.6","6905.59"
"08359500",17727284,"63960.9","65882.7"
"02303330",16907019,"597.34","948.614"
"03431060",18408240,"166.313","244.721"
"05464000",937080146,"13002","13333.2"
"06472000",11479108,"16081.6","19203"
"07338500",618952,"831.535","3185.92"
"03228805",5213149,"171.634","318.157"
"08018500",5275740,"1966.27","3523.58"
"07144795",21160795,"2019.97","2516.09"
"01417000",1748727,"679.996","967.118"
"07149520",21001095,"4855.15","6200.8"
"11046000",22548559,"3535.59","1842.24"
"03111955",19453867,"20.0493","398.748"
"03451500",22162094,"1997.8","2446.89"
"09067020",1319278,"875.273","1038.96"
"09302000",11985487,"9492.64","9524.66"
"11313440",1909508,"122755","46467.2"
"11458500",948050091,"42.2226","163.784"
"04105500",3473353,"1789.51","2147.05"
"04206000",15588498,"397.238","1047.31"
"03095500",13153121,"48.7143","253.091"
"12396500",22994743,"61811.7","63633.1"
"02072500",8674473,"560.97","673.861"
"08074810",1439635,"111.663","190.003"
"09085100",3175612,"15104.3","15538.5"
"07343840",1121321,"1510.69","2054.44"
"04097500",12262414,"663.599","3518.85"
"03610200",1863920,"234.034","350.456"
"05059700",14254647,"54.6489","2151.86"
"09258980",18272390,"335.712","2456.65"
"02372422",2378929,"2402.39","3261.12"
"09419000",20624320,"12809.9","15874.4"
"09080400",1326889,"120.838","613.447"
"08013500",15085713,"1298.41","1973.23"
"09408135",10024050,"2475.98","3562.82"
"12137800",23963707,"34.7121","199.476"
"01581920",11687160,"132.504","212.185"
"02105769",8834930,"12587.7","13637.6"
"11466320",8273639,"153.782","202.027"
"03362500",18461156,"743.607","1228.89"
"06077500",12416463,"2799.61","4092.36"
"06479010",16016298,"3373.57","5840.46"
"08290000",17848906,"6448.54","7965.72"
"01530332",8118423,"5194.92","5591.17"
"01447800",4186403,"550.081","750.794"
"02465000",18229923,"9122.9","12498"
"08261000",17863208,"567.262","570.404"
"01505810",9422879,"671.789","1190.58"
"02370000",791526,"231.061","533.839"
"10311400",11432263,"2142.34","2212.9"
"14150000",23751830,"2412.86","2604.7"
"08048000",1268410,"6738.48","6742.29"
"04137500",12954040,"3949.73","4323.81"
"06354580",14665387,"310.073","1951.26"
"03437495",11879852,"52.5357","95.1777"
"08104500",5592244,"13062.7","13648.7"
"02444160",18631042,"9181.24","14889"
"09059500",1238051,"35.8506","243.483"
"04268000",15465127,"2427.91","2913.6"
"08180640",10836382,"946.67","2092.65"
"11276500",17081559,"775.431","1197.26"
"04247055",21972840,"20035.2","20331.5"
"13348000",23459939,"45.8505","330.191"
"01570000",4712048,"33.462","1211.01"
"01518700",8111755,"921.433","1149.87"
"10312275",13069694,"4158.56","4257.01"
"02207448",6331746,"199.172","213.236"
"09402000",20517943,"44598.7","59321.3"
"04181500",15671969,"765.856","1489.55"
"08065350",1484774,"33723.7","35961.7"
"09486520",15890430,"8934.8","9200.72"
"03196800",19325043,"690.511","2570.37"
"10308800",8922549,"57.5082","83.6271"
"03490000",19763234,"573.45","1739.01"
"01564895",4697593,"6040.8","6522.71"
"11475000",2706571,"1929.82","5460.93"
"05406479",13633821,"30.0294","66.1284"
"08223000",17900327,"3388.19","4221.44"
"07312700",13732288,"8486.29","8879.17"
"08331160",943020262,"37707.8","37837"
"07105530",1529807,"1014.7","1080.4"
"06774000",7301400,"149272","149938"
"06348300",16223819,"5725.3","7596.15"
"01545800",8137096,"7833.73","8663.29"
"03353910",18476589,"96.84","134.057"
"14018500",23637700,"250.584","4265.76"
"06225500",12901126,"3579.75","4908.95"
"07138070",21251336,"129136","69249.5"
"08049500",1269868,"7689.16","7910.32"
"07076517",11779377,"1079.4","3464.29"
"08110500",5575763,"883.335","2442.33"
"11464000",8272379,"2048.68","2058.31"
"03329000",20101828,"9124.95","9908.65"
"09365000",17003788,"11860.2","18524.4"
"01603000",14363552,"1894.03","2268.26"
"14162500",23772909,"1179","2341.02"
"02457595",18566081,"9.4923","133.475"
"03062235",3769806,"5812.3","6581.92"
"05059500",14828149,"11594","11623.3"
"04240105",904140174,"28.613","35.539"
"02489500",15708443,"14813.2","16946"
"14242580",24248524,"379.029","1295.58"
"06715000",2885542,"68.211","224.385"
"05064500",6696830,"50740","45721"
"11087020",22521721,"622.985","1131.29"
"06895500",4388401,"1.18173e+06","1.18371e+06"
"03042500",4752366,"148.807","445.018"
"09386950",20573275,"186.35","2045.5"
"10038000",7900637,"5555.02","6212.31"
"02060500",8626299,"3169.33","4615.79"
"09288180",11966509,"1154.03","2203.29"
"12510500",947030106,"13461.5","14059.7"
"10346000",8933532,"2271.39","2424.86"
"08170950",1628253,"353.26","695.728"
"01549700",8145248,"1656.66","2460.36"
"06395000",9555429,"14073.8","18570.5"
"06287800",12781087,"50950.5","51533"
"09404115",20691582,"5637.59","5959.09"
"03410210",12154474,"1704.83","2092.22"
"09180500",3379045,"57967.9","61945.2"
"14163150",23772857,"2341.02","2600.03"
"01576000",4722221,"66343.4","66993.3"
"02337170",3286494,"5019.95","5322.48"
"07191288",21770855,"576.768","929.466"
"02349605",6444276,"4796.76","7575.99"
"04101500",12264996,"8863.69","9654.55"
"03282290",868626,"7552.07","8346.08"
"11447890",15059765,"119857","60123.8"
"14033500",23647724,"1143.13","5582.07"
"12210700",23955918,"810.727","1542.73"
"11463000",8271445,"952.388","1308.39"
"05357215",13344478,"31.6422","43.4952"
"06865500",25068899,"19174.1","19918"
"06893500",4392705,"418.37","476.974"
"02224500",1958701,"11405.6","13214.9"
"07052100",7607235,"54.4023","102.461"
"07017020",5052681,"5934.22","7101.93"
"06714500",2885314,"34.3485","36.9288"
"01413500",1748583,"278.324","434.888"
"03433500",18391756,"553.924","1061.23"
"06235500",12890553,"565.658","4935.34"
"08177520",1640519,"14796.4","15070.2"
"04157005",13204453,"12266.8","15581.5"
"06018500",4215022,"7334.86","9210.26"
"02089000",11239411,"4094.94","6232.05"
"07077000",25189323,"57907.9","60747.8"
"08167500",3589120,"2181.28","3409.29"
"08104100",5587556,"3096.33","3421.07"
"01559000",4684346,"1333.92","2121"
"03029000",6874893,"528.116","792.261"
"05536179",13463881,"51.9948","96.7617"
"05592100",13772120,"3003.36","3451.62"
"05410490",13625933,"705.48","1781.49"
"06452000",11547654,"19927.2","25547.1"
"06863000",940260253,"14310.1","14946.5"
"11337190",1889650,"172905","106769"
"03283500",867878,"170.721","938.248"
"13057000",24451499,"22315.5","22564"
"08033000",1079041,"5036.81","7047.93"
