"cnt","to_usgs","to_comid","from_comid","from_usgs"
67,"03381700",11866736,"{434540,1825520,465436,886643,908809,1823336,1918988,1919636,1920776,1922518,1922540,1936654,2087849,2086989,2087793,3368346,3369272,3405071,3405393,3405451,3405581,3405683,3406023,3407011,3407421,3488041,15429794,3885878,3925073,25243939,3935066,3964810,11617363,19315490,6928060,19293432,10382125,10106835,10156865,10161364,10163598,10163686,10163710,10164000,10163768,10163798,10163856,10266496,10264270,10264274,10265896,10302643,10357656,10357352,10382021,10437194,11616503,11897420,15383305,15421121,15431824,15431680,15431972,19315642,19414869,19415571,19440277}","{03214500,03290500,03217000,03212500,03215410,03291500,03238495,03237500,03237280,03238772,03238745,03216500,03254520,03254693,03254550,03202000,03205470,03259000,03260015,03260100,03260050,03262001,03238140,03277075,03277130,03237020,03114306,03274000,03276500,03245500,03247500,03206600,03320000,03198000,03200500,03203600,03378500,03303300,03322011,03291780,03292470,03292480,03292474,03293510,03294550,03294570,03294000,03298500,03302030,03302050,03298550,03301500,03303000,03302220,03378550,03381500,03321350,03320500,03150500,03159500,03115786,03115400,03114500,03201405,03155220,03155000,03159540}"
63,"03611500",1840025,"{11866736,1839899,1863920,18409490,10147033,10169834,10562610,10581525,10581939,11868270,11880724,11883626,14642349,18393278,18409192,19488812,19503182,19514640,19543740,19550100,19567882,19577851,19581347,19581387,19594712,19621426,19620296,19619792,19620688,19620186,19620232,19621328,19621374,19621386,19621388,19626108,19647854,19663107,19678155,19695443,19696075,19697927,19712873,19720831,19722609,19730694,19735407,19736737,19743430,19744396,19752413,19752425,19752763,19763234,22123016,22125042,22130125,22144064,22150583,22162876,22178350,22178772,22540324}","{03381700,03611260,03610200,03431790,03382100,03436100,03384100,03605078,03606500,03384450,03438000,03436690,03528000,03434500,03431800,03467609,03604400,03603000,03594421,03593800,03592500,03588500,03590000,03586500,03584600,03574500,03575950,03577225,03575700,03575272,03575980,03575100,03576250,03575830,0357526200,03576500,03572690,03571000,03566000,03566535,03567500,03568933,03540500,0351706800,03518500,03513000,03505550,03503000,03479000,03485500,03475000,03473000,03478400,03490000,03535000,03535400,03498850,03469251,03461500,03455000,03491000,03491544,03532000}"
36,"07010000",3624735,"{11923655,6010106,880034,14809371,2507315,2924333,2925495,2926561,3598326,3623245,3623981,3624073,3624105,4867221,4867473,4989635,5002731,5017044,5017066,5802762,5802188,5802280,5915205,6009092,6010004,6010012,14795283,6960295,6960357,6960893,7006146,10608846,10609240,10969489,14796105,14804277}","{05465700,06935965,05514860,05420500,05514500,05512500,05501000,05502000,05586100,05587900,05588000,07001985,07005000,05508805,05508000,05500000,05490600,05498150,05497150,05495000,05495500,05496000,05587000,06935997,06936475,06935980,05421760,05466500,05467000,05469000,05474000,05446500,05448000,05447500,05422000,05422600}"
33,"07289000",19266232,"{7474830,1543497,3665570,758846,1543899,3672682,25189323,7753306,7752938,7753312,7770981,7766271,7769385,7787118,7787336,7803469,7818688,7835620,9278434,9273030,14199477,17991438,17956869,17956783,17963095,17995532,17997024,17997396,18016786,22848029,22847829,22865239,938020696}","{07032000,07249455,07039500,07043500,07250085,07047855,07077000,07250965,07252000,07250974,07257500,07257006,07257693,07260673,07260678,07260500,07261250,07263012,07077555,07077652,07032200,07281600,07288500,07288521,07288650,07287160,07287404,330304090210100,07285500,07263300,07263605,07047950,07264000}"
21,"06486000",17244390,"{14523623,14376509,7226854,11258604,12669690,11547654,11550704,11645823,11645915,11673186,11759050,11761348,14490772,14665387,14681826,14682302,16016298,16128803,21834041,16203752,16225429}","{06342500,06438500,06485950,06360500,06478513,06452000,06452320,06465500,06465700,06453600,06478522,06466500,06354882,06354580,06349600,06349500,06479010,06441500,06357800,06354000,06349000}"
17,"05420500",14809371,"{2118562,2456124,2463033,2463163,2733550,13139741,13211090,13211298,13312489,13324402,13324626,13336508,13358638,13361516,13375515,13637495,13625933}","{05378500,05383075,05385500,05385000,05379500,05382000,05389000,05389400,05412500,05414000,05413500,05388250,05414820,05419000,05418720,05407000,05410490}"
17,"12472800",947020558,"{22904467,22904453,22994743,22995329,23021792,23021912,23026720,23040731,23046003,23053043,23064723,23065279,23073739,23080544,23207982,24382701,24405889}","{12322000,12321500,12396500,12397100,12426000,12433200,12431000,12404900,12409000,12434590,12447200,12447285,12452500,12462500,12452990,12449950,12472600}"
17,"07381490",15169567,"{19950146,1017893,1017865,1018031,1042491,3761618,8343927,19376770,19432886,19273960,19303413,19350633,19350501,19376616,19406818,19913448,19935747}","{07344370,07346000,07346045,07346080,07346070,07349860,07351750,07372200,07367005,07369500,07369700,07369000,07368000,07373000,07381482,07352000,07348700}"
15,"07020500",5089904,"{3624735,3624471,3624541,3626651,5050679,5050585,5050347,5050353,5050395,5050437,5050481,5051035,5088824,13893016,13891354}","{07010000,07010097,07010180,07010208,07019000,07019185,07019072,07019120,07019090,07019195,07019220,07019317,07020550,05595000,05595200}"
15,"07032000",7474830,"{5092616,1841415,1839453,7483456,7484594,7486454,7491728,14062259,14073444,14101407,14113038,14126587,14206348,14206856,14240668}","{07022000,03612600,03613000,07025400,07026795,07026680,07026500,07030240,07030050,07028960,07024500,07024000,07031692,07031650,07027720}"
